"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2015/11/13 00:00:00","EST","N.Y.C.","61761","17.88","0.68","-11.91","1"
"2015/11/13 01:00:00","EST","N.Y.C.","61761","14.29","0.62","-8.52","1"
"2015/11/13 02:00:00","EST","N.Y.C.","61761","9.64","0.55","-4.43","1"
"2015/11/13 03:00:00","EST","N.Y.C.","61761","9.52","0.54","-4.28","1"
"2015/11/13 04:00:00","EST","N.Y.C.","61761","11.19","0.53","-6.19","1"
"2015/11/13 05:00:00","EST","N.Y.C.","61761","15.56","0.62","-9.78","1"
"2015/11/13 06:00:00","EST","N.Y.C.","61761","23.64","1.87","-8.22","1"
"2015/11/13 07:00:00","EST","N.Y.C.","61761","23.05","2.53","-3.03","1"
"2015/11/13 08:00:00","EST","N.Y.C.","61761","27.56","2.72","-6.9","1"
"2015/11/13 09:00:00","EST","N.Y.C.","61761","28.39","2.72","-7.77","1"
"2015/11/13 10:00:00","EST","N.Y.C.","61761","28.89","2.76","-8.18","1"
"2015/11/13 11:00:00","EST","N.Y.C.","61761","28.52","2.8","-7.8","1"
"2015/11/13 12:00:00","EST","N.Y.C.","61761","27.68","2.55","-8.91","1"
"2015/11/13 13:00:00","EST","N.Y.C.","61761","26.99","2.47","-8.7","1"
"2015/11/13 14:00:00","EST","N.Y.C.","61761","25.87","2.51","-7.48","1"
"2015/11/13 15:00:00","EST","N.Y.C.","61761","26.38","2.45","-8.18","1"
"2015/11/13 16:00:00","EST","N.Y.C.","61761","30.02","2.65","-10.07","1"
"2015/11/13 17:00:00","EST","N.Y.C.","61761","39.8","3.36","-15.4","1"
"2015/11/13 18:00:00","EST","N.Y.C.","61761","33.01","3.26","-8.87","1"
"2015/11/13 19:00:00","EST","N.Y.C.","61761","29.11","2.95","-7.51","1"
"2015/11/13 20:00:00","EST","N.Y.C.","61761","28.7","2.71","-8.13","1"
"2015/11/13 21:00:00","EST","N.Y.C.","61761","20.1","2.3","-2.6","1"
"2015/11/13 22:00:00","EST","N.Y.C.","61761","17.98","2.12","-2.07","1"
"2015/11/13 23:00:00","EST","N.Y.C.","61761","17.85","0.8","-11.03","1"
"2015/11/14 00:00:00","EST","N.Y.C.","61761","16.83","0.9","-8.13","1"
"2015/11/14 01:00:00","EST","N.Y.C.","61761","13.88","0.85","-5.64","1"
"2015/11/14 02:00:00","EST","N.Y.C.","61761","11.6","0.78","-3.76","1"
"2015/11/14 03:00:00","EST","N.Y.C.","61761","11.01","0.77","-3.19","1"
"2015/11/14 04:00:00","EST","N.Y.C.","61761","11.29","0.77","-3.5","1"
"2015/11/14 05:00:00","EST","N.Y.C.","61761","11.86","0.77","-3.83","1"
"2015/11/14 06:00:00","EST","N.Y.C.","61761","14.37","1.1","-3.09","1"
"2015/11/14 07:00:00","EST","N.Y.C.","61761","15.57","1.63","0","1"
"2015/11/14 08:00:00","EST","N.Y.C.","61761","20.36","2.13","-0.58","1"
"2015/11/14 09:00:00","EST","N.Y.C.","61761","22.4","2.42","-0.62","1"
"2015/11/14 10:00:00","EST","N.Y.C.","61761","24.6","2.32","-3.73","1"
"2015/11/14 11:00:00","EST","N.Y.C.","61761","24.33","2.3","-3.77","1"
"2015/11/14 12:00:00","EST","N.Y.C.","61761","23.01","2.2","-3.97","1"
