"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2021/01/01 00:00:00","EST","N.Y.C.","61761","22.88","1.29","-9.05","1"
"2021/01/01 01:00:00","EST","N.Y.C.","61761","21","1.23","-7.94","1"
"2021/01/01 02:00:00","EST","N.Y.C.","61761","20.26","1.28","-6.81","1"
"2021/01/01 03:00:00","EST","N.Y.C.","61761","20.14","1.27","-6.43","1"
"2021/01/01 04:00:00","EST","N.Y.C.","61761","20","1.06","-8.63","1"
"2021/01/01 05:00:00","EST","N.Y.C.","61761","19.94","0.94","-9.63","1"
"2021/01/01 06:00:00","EST","N.Y.C.","61761","19.88","1.04","-8.54","1"
"2021/01/01 07:00:00","EST","N.Y.C.","61761","20.77","1.06","-9.42","1"
"2021/01/01 08:00:00","EST","N.Y.C.","61761","20.04","1.4","-6.14","1"
"2021/01/01 09:00:00","EST","N.Y.C.","61761","19.8","1.51","-5","1"
"2021/01/01 10:00:00","EST","N.Y.C.","61761","21.5","1.65","-5.34","1"
"2021/01/01 11:00:00","EST","N.Y.C.","61761","20.83","1.53","-6.03","1"
"2021/01/01 12:00:00","EST","N.Y.C.","61761","21.4","1.67","-5.32","1"
"2021/01/01 13:00:00","EST","N.Y.C.","61761","21.05","1.79","-3.74","1"
"2021/01/01 14:00:00","EST","N.Y.C.","61761","21.09","1.75","-4.09","1"
"2021/01/01 15:00:00","EST","N.Y.C.","61761","21.38","1.91","-3.01","1"
"2021/01/01 16:00:00","EST","N.Y.C.","61761","24.83","2.16","-3.88","1"
"2021/01/01 17:00:00","EST","N.Y.C.","61761","29.8","2.67","-3.44","1"
"2021/01/01 18:00:00","EST","N.Y.C.","61761","27.06","2.35","-4.09","1"
"2021/01/01 19:00:00","EST","N.Y.C.","61761","23.48","1.87","-5.47","1"
"2021/01/01 20:00:00","EST","N.Y.C.","61761","22.71","1.61","-6.86","1"
"2021/01/01 21:00:00","EST","N.Y.C.","61761","22.59","1.11","-11.56","1"
"2021/01/01 22:00:00","EST","N.Y.C.","61761","21.49","1.09","-10.47","1"
"2021/01/01 23:00:00","EST","N.Y.C.","61761","20.87","0.97","-10.97","1"
"2021/01/02 00:00:00","EST","N.Y.C.","61761","22","0.92","-12.12","1"
"2021/01/02 01:00:00","EST","N.Y.C.","61761","20.68","0.62","-13.74","1"
"2021/01/02 02:00:00","EST","N.Y.C.","61761","20","0.59","-13.42","1"
"2021/01/02 03:00:00","EST","N.Y.C.","61761","19.74","0.63","-12.69","1"
"2021/01/02 04:00:00","EST","N.Y.C.","61761","19.58","0.52","-13.66","1"
"2021/01/02 05:00:00","EST","N.Y.C.","61761","19.98","0.61","-13.05","1"
"2021/01/02 06:00:00","EST","N.Y.C.","61761","20.67","0.6","-13.64","1"
"2021/01/02 07:00:00","EST","N.Y.C.","61761","21.51","0.78","-12.34","1"
"2021/01/02 08:00:00","EST","N.Y.C.","61761","21.62","1.04","-10.28","1"
"2021/01/02 09:00:00","EST","N.Y.C.","61761","22.61","1.44","-7.84","1"
"2021/01/02 10:00:00","EST","N.Y.C.","61761","21.86","1.66","-4.38","1"
"2021/01/02 11:00:00","EST","N.Y.C.","61761","21.73","1.61","-4.9","1"
"2021/01/02 12:00:00","EST","N.Y.C.","61761","21.02","1.64","-3.61","1"
"2021/01/02 13:00:00","EST","N.Y.C.","61761","20.97","1.72","-2.91","1"
"2021/01/02 14:00:00","EST","N.Y.C.","61761","20.65","1.66","-2.87","1"
"2021/01/02 15:00:00","EST","N.Y.C.","61761","20.75","1.83","-1.28","1"
"2021/01/02 16:00:00","EST","N.Y.C.","61761","24","2.04","-2.16","1"
"2021/01/02 17:00:00","EST","N.Y.C.","61761","31.29","2.79","0","1"
"2021/01/02 18:00:00","EST","N.Y.C.","61761","28.5","2.59","-0.03","1"
"2021/01/02 19:00:00","EST","N.Y.C.","61761","26.72","2.47","-1.35","1"
"2021/01/02 20:00:00","EST","N.Y.C.","61761","24.29","2.15","-1.47","1"
"2021/01/02 21:00:00","EST","N.Y.C.","61761","22.64","1.8","-3.55","1"
"2021/01/02 22:00:00","EST","N.Y.C.","61761","21.3","1.72","-3.31","1"
"2021/01/02 23:00:00","EST","N.Y.C.","61761","21.3","1.56","-4.97","1"
"2021/01/03 00:00:00","EST","N.Y.C.","61761","22.09","1.22","-8.78","1"
"2021/01/03 01:00:00","EST","N.Y.C.","61761","21.32","1.04","-9.96","1"
"2021/01/03 02:00:00","EST","N.Y.C.","61761","20.54","1.07","-9.16","1"
"2021/01/03 03:00:00","EST","N.Y.C.","61761","19.9","0.98","-9.5","1"
"2021/01/03 04:00:00","EST","N.Y.C.","61761","20.12","0.88","-10.45","1"
"2021/01/03 05:00:00","EST","N.Y.C.","61761","20.22","0.97","-9.89","1"
"2021/01/03 06:00:00","EST","N.Y.C.","61761","21.09","0.94","-10.38","1"
"2021/01/03 07:00:00","EST","N.Y.C.","61761","21.52","0.95","-10.41","1"
"2021/01/03 08:00:00","EST","N.Y.C.","61761","21.59","1.34","-6.96","1"
"2021/01/03 09:00:00","EST","N.Y.C.","61761","22.1","1.64","-5.15","1"
"2021/01/03 10:00:00","EST","N.Y.C.","61761","22.72","1.94","-2.68","1"
"2021/01/03 11:00:00","EST","N.Y.C.","61761","23.41","2.2","-0.66","1"
"2021/01/03 12:00:00","EST","N.Y.C.","61761","23.23","2.21","-0.53","1"
"2021/01/03 13:00:00","EST","N.Y.C.","61761","22.69","2.19","-0.89","1"
"2021/01/03 14:00:00","EST","N.Y.C.","61761","22.45","2.24","0","1"
"2021/01/03 15:00:00","EST","N.Y.C.","61761","22.69","2.23","0","1"
"2021/01/03 16:00:00","EST","N.Y.C.","61761","25.57","2.28","0","1"
"2021/01/03 17:00:00","EST","N.Y.C.","61761","32.65","3.16","0","1"
"2021/01/03 18:00:00","EST","N.Y.C.","61761","29.93","2.94","0","1"
"2021/01/03 19:00:00","EST","N.Y.C.","61761","27.16","2.71","0","1"
"2021/01/03 20:00:00","EST","N.Y.C.","61761","22.76","2.22","0","1"
"2021/01/03 21:00:00","EST","N.Y.C.","61761","22.7","1.86","-3.12","1"
"2021/01/03 22:00:00","EST","N.Y.C.","61761","21.76","1.67","-4.63","1"
"2021/01/03 23:00:00","EST","N.Y.C.","61761","21.15","1.61","-4.33","1"
"2021/01/04 00:00:00","EST","N.Y.C.","61761","23","1.06","-11.6","1"
"2021/01/04 01:00:00","EST","N.Y.C.","61761","21.46","1","-10.42","1"
"2021/01/04 02:00:00","EST","N.Y.C.","61761","20.75","1.09","-9.02","1"
"2021/01/04 03:00:00","EST","N.Y.C.","61761","20.7","1.03","-9.41","1"
"2021/01/04 04:00:00","EST","N.Y.C.","61761","20.15","1.31","-6.33","1"
"2021/01/04 05:00:00","EST","N.Y.C.","61761","21.6","1.58","-4.41","1"
"2021/01/04 06:00:00","EST","N.Y.C.","61761","26.51","1.83","-6","1"
"2021/01/04 07:00:00","EST","N.Y.C.","61761","29.15","2.7","-1.87","1"
"2021/01/04 08:00:00","EST","N.Y.C.","61761","28.09","2.91","-0.76","1"
"2021/01/04 09:00:00","EST","N.Y.C.","61761","28.01","3.04","0","1"
"2021/01/04 10:00:00","EST","N.Y.C.","61761","26.51","2.69","0","1"
"2021/01/04 11:00:00","EST","N.Y.C.","61761","25.38","2.54","0","1"
"2021/01/04 12:00:00","EST","N.Y.C.","61761","24.45","2.44","0","1"
"2021/01/04 13:00:00","EST","N.Y.C.","61761","24.34","2.39","0","1"
"2021/01/04 14:00:00","EST","N.Y.C.","61761","24.39","2.42","0","1"
"2021/01/04 15:00:00","EST","N.Y.C.","61761","24.78","2.5","0","1"
"2021/01/04 16:00:00","EST","N.Y.C.","61761","27.01","2.61","0","1"
"2021/01/04 17:00:00","EST","N.Y.C.","61761","39.95","4.28","0","1"
"2021/01/04 18:00:00","EST","N.Y.C.","61761","31.63","3.31","0","1"
"2021/01/04 19:00:00","EST","N.Y.C.","61761","28.25","2.91","0","1"
"2021/01/04 20:00:00","EST","N.Y.C.","61761","25.8","2.58","0","1"
"2021/01/04 21:00:00","EST","N.Y.C.","61761","24.64","2.46","0","1"
"2021/01/04 22:00:00","EST","N.Y.C.","61761","23.05","2.27","0","1"
"2021/01/04 23:00:00","EST","N.Y.C.","61761","22","1.93","-2.83","1"
"2021/01/05 00:00:00","EST","N.Y.C.","61761","23.78","1.72","-5.63","1"
"2021/01/05 01:00:00","EST","N.Y.C.","61761","21.78","1.61","-5.13","1"
"2021/01/05 02:00:00","EST","N.Y.C.","61761","20.77","1.68","-2.9","1"
"2021/01/05 03:00:00","EST","N.Y.C.","61761","20","1.54","-4.19","1"
"2021/01/05 04:00:00","EST","N.Y.C.","61761","22.45","1.43","-6.76","1"
"2021/01/05 05:00:00","EST","N.Y.C.","61761","23.77","1.56","-5.77","1"
"2021/01/05 06:00:00","EST","N.Y.C.","61761","29.4","2.02","-6.75","1"
"2021/01/05 07:00:00","EST","N.Y.C.","61761","32.94","2.55","-6.79","1"
"2021/01/05 08:00:00","EST","N.Y.C.","61761","30.66","2.64","-4.41","1"
"2021/01/05 09:00:00","EST","N.Y.C.","61761","29.91","3.13","-1.08","1"
"2021/01/05 10:00:00","EST","N.Y.C.","61761","28.07","2.8","0","1"
"2021/01/05 11:00:00","EST","N.Y.C.","61761","27.58","2.73","0","1"
"2021/01/05 12:00:00","EST","N.Y.C.","61761","26.08","2.63","0","1"
"2021/01/05 13:00:00","EST","N.Y.C.","61761","25.92","2.63","0","1"
"2021/01/05 14:00:00","EST","N.Y.C.","61761","25.51","2.49","0","1"
"2021/01/05 15:00:00","EST","N.Y.C.","61761","26.46","2.6","0","1"
"2021/01/05 16:00:00","EST","N.Y.C.","61761","28.28","2.64","0","1"
"2021/01/05 17:00:00","EST","N.Y.C.","61761","42.1","4.37","-0.36","1"
"2021/01/05 18:00:00","EST","N.Y.C.","61761","33.83","3.46","0","1"
"2021/01/05 19:00:00","EST","N.Y.C.","61761","31","3.11","-0.57","1"
"2021/01/05 20:00:00","EST","N.Y.C.","61761","28.07","2.7","-0.56","1"
"2021/01/05 21:00:00","EST","N.Y.C.","61761","26.79","2.47","-2.22","1"
"2021/01/05 22:00:00","EST","N.Y.C.","61761","24.33","2.04","-4.22","1"
"2021/01/05 23:00:00","EST","N.Y.C.","61761","22.46","1.96","-3.34","1"
"2021/01/06 00:00:00","EST","N.Y.C.","61761","25.57","1.52","-7.92","1"
"2021/01/06 01:00:00","EST","N.Y.C.","61761","22.53","1.55","-4.83","1"
"2021/01/06 02:00:00","EST","N.Y.C.","61761","22.34","1.56","-4.04","1"
"2021/01/06 03:00:00","EST","N.Y.C.","61761","22.24","1.51","-4.65","1"
